_tid_,attribute
2069,position
2072,position
2254,position
4046,stadium
4050,stadium
4058,stadium
4065,stadium
4110,stadium
4132,stadium
4292,stadium
4502,stadium
4553,stadium
4571,stadium
4585,stadium
4620,stadium
4635,stadium
4664,stadium
4788,stadium
4795,stadium
4806,stadium
4831,stadium
4841,stadium
4857,stadium
4863,stadium
4918,birthyear
4977,stadium
5054,birthyear
5083,birthyear
5320,stadium
5324,stadium
5369,birthyear
5474,birthyear
5592,stadium
5682,stadium
5707,stadium
5740,stadium
5752,stadium
5827,stadium
5848,stadium
5870,stadium
5931,stadium
6005,stadium
6010,stadium
6066,stadium
6080,stadium
6093,stadium
6127,stadium
6144,stadium
6179,stadium
6297,stadium
6316,stadium
6338,stadium
6452,stadium
6486,stadium
6505,stadium
6521,stadium
6713,stadium
6778,stadium
8215,birthyear
8724,birthyear
8743,birthyear
8967,season
9103,birthyear
9347,birthyear
9502,season
9863,season
9898,season
10466,season
10507,birthyear
10574,birthyear
10650,birthyear
10765,birthyear
10781,season
10888,birthyear
10990,season
11013,birthyear
11076,season
11339,season
12016,season
12169,birthyear
12893,season
13092,season
13263,season
13265,season
13342,season
13585,season
13628,season
13782,season
14141,birthyear
14419,birthyear
14460,birthyear
14476,birthyear
14972,season
15000,birthyear
15414,season
15859,season
15952,birthyear
16107,birthyear
16685,birthyear
16948,birthyear
17547,season
18125,birthyear
18205,birthyear
18535,birthyear
18605,season
18621,season
18783,team
18839,birthyear
18882,team
18885,team
18889,team
18993,season
19005,team
19035,team
19061,team
19071,season
19097,team
19104,team
19161,season
19206,team
19265,team
19276,team
19292,team
19297,birthyear
19308,team
19334,team
19337,season
19578,season
19588,team
19609,team
19640,season
19710,team
19783,team
19830,season
19912,team
19935,team
20051,team
20055,team
20060,team
20108,team
20120,season
20136,season
20185,season
20205,team
20252,team
20304,team
20330,team
20398,team
20436,team
20498,team
20626,team
20761,team
20824,team
20909,team
20981,team
21079,team
21083,team
21110,team
21170,team
21200,team
21240,team
21251,team
21304,team
21326,team
21423,team
21424,team
21434,team
21442,team
21481,season
22987,season
22992,birthplace
23010,birthplace
23231,birthplace
23484,birthplace
23747,birthplace
23941,season
24514,season
24760,season
24857,birthplace
24882,birthplace
25024,birthplace
25448,season
25535,season
25607,season
25626,birthplace
25889,birthplace
25933,season
26100,birthplace
26169,season
26176,birthplace
26229,birthplace
26233,season
26263,season
26631,birthplace
26775,season
26909,birthplace
27298,birthplace
27474,birthplace
27522,season
27827,season
27897,season
27908,birthplace
28012,birthplace
28029,birthplace
28069,birthplace
28097,team
28140,birthplace
28164,team
28168,team
28177,team
28185,team
28188,team
28239,team
28252,birthplace
28284,team
28334,birthplace
28492,team
28822,team
28838,team
28858,season
28861,team
28884,season
28910,team
28926,season
28945,season
28976,team
28982,team
28991,team
29033,team
29096,team
29136,team
29139,season
29188,team
29256,team
29332,team
29424,team
29443,team
29519,team
29536,team
29551,season
29595,team
29661,team
29718,team
29720,season
29731,team
29818,team
29886,team
29899,team
29914,team
29918,birthplace
29960,team
29984,team
29994,team
29997,team
30045,team
30054,birthplace
30062,season
30067,season
30083,birthplace
30105,season
30120,team
30133,team
30150,team
30210,team
30243,season
30249,team
30268,team
30318,team
30369,birthplace
30410,team
30439,team
30470,season
30474,birthplace
30489,team
30509,team
30534,season
30548,season
30576,season
30658,season
30908,season
31030,season
31051,season
31111,season
31157,season
31227,season
31298,season
31412,season
31542,season
31586,season
31609,season
31714,season
31831,season
31919,season
31983,season
31992,season
32026,season
32085,season
32234,birthplace
32242,season
32302,season
32531,season
32846,season
32911,season
33024,season
33215,birthplace
33225,season
33293,season
33383,season
33528,season
33708,season
33724,birthplace
33743,birthplace
33852,season
33963,season
33986,season
