_tid_,attribute
597,income
601,income
612,income
623,income
628,income
635,income
659,income
661,income
662,income
667,income
676,income
686,income
687,income
692,income
714,income
728,income
729,income
741,income
768,income
807,income
808,income
809,income
816,income
821,income
826,income
828,income
836,income
838,income
840,income
850,income
852,income
857,income
866,income
895,income
901,income
906,income
907,income
909,income
913,income
922,income
923,income
928,income
933,income
952,income
953,income
958,income
959,income
965,income
1001,income
1023,income
1043,income
1044,income
1053,income
1054,income
1058,income
1070,income
1073,income
1074,income
1078,income
1080,income
1082,income
1087,income
1089,income
1094,income
1101,income
1111,income
1115,income
1121,income
1136,income
1146,income
1156,income
1191,income
1199,income
1211,income
1214,income
1219,income
1233,income
1237,income
1248,income
1257,income
1270,income
1291,income
1293,income
1296,income
1307,income
1319,income
1345,income
1346,income
1353,income
1365,income
1366,income
1375,income
1391,income
1401,income
1403,income
1416,income
1419,income
1437,income
1448,income
1455,income
1461,income
1475,income
1476,income
1478,income
1483,income
1498,income
1499,income
1501,income
1508,income
1509,income
1512,education
1517,income
1523,income
1533,income
1546,income
1550,income
1551,income
1564,income
1565,income
1569,income
1579,income
1602,income
1606,income
1609,income
1619,income
1625,income
1672,income
1684,income
1686,income
1688,income
1691,income
1693,income
1704,income
1713,income
1714,income
1716,income
1732,income
1753,income
1768,income
1779,income
1780,income
1803,income
1817,income
1819,income
1828,income
1830,income
1849,income
1861,income
1868,income
1872,income
1905,income
1911,income
1931,income
1946,income
1951,income
1957,income
1958,income
1959,income
1964,income
1966,income
1971,income
1975,education
1980,income
1982,income
1984,income
1996,income
2001,income
2041,income
2043,income
2045,income
2047,income
2051,income
2053,income
2061,income
2071,income
2073,income
2083,income
2085,income
2100,income
2103,income
2104,income
2111,income
2116,income
2117,income
2123,income
2133,income
2135,income
2140,income
2142,income
2143,income
2154,income
2155,income
2158,income
2159,income
2165,income
2177,income
2179,income
2188,income
2194,income
2203,income
2207,income
2208,income
2210,income
2211,income
2214,income
2215,income
2220,income
2222,income
2231,income
2233,income
2261,income
2270,income
2271,income
2272,income
2278,income
2287,income
2289,income
2293,income
2301,income
2304,income
2305,income
2309,income
2311,income
2327,income
2331,income
2336,income
2337,income
2341,income
2343,income
2349,income
2366,income
2369,income
2373,income
2382,income
2385,income
2391,income
2433,income
2437,income
2438,income
2441,income
2442,income
2465,income
2479,income
2484,income
2491,income
2509,income
2511,income
2515,income
2517,income
2518,income
2536,income
2562,income
2569,income
2571,income
2574,income
2576,income
2581,income
2586,income
2587,income
2600,income
2603,income
2638,income
2641,income
2642,income
2643,income
2645,income
2651,education
2652,income
2669,income
2674,income
2677,income
2681,income
2685,income
2686,income
2694,income
2702,income
2703,income
2706,income
2716,income
2726,income
2749,income
2753,income
2765,income
2781,income
2797,income
2807,income
2815,income
2821,income
2826,income
2850,income
2859,income
2864,income
2869,income
2875,income
2877,income
2884,income
2890,income
2914,income
2936,income
2950,income
2984,income
2985,income
2986,income
2994,income
2995,income
3001,income
3017,income
3018,income
3023,income
3064,income
3077,income
3086,income
3088,income
3090,income
3093,income
3122,income
3156,income
3172,income
3179,income
3189,income
3211,income
3213,income
3223,income
3238,income
3241,income
3250,income
3262,income
3268,income
3269,income
3272,income
3275,income
3285,income
3319,income
3321,income
3322,income
3356,income
3360,income
3363,income
3385,income
3390,income
3415,income
3416,income
3418,income
3421,income
3424,income
3427,income
3436,income
3441,income
3449,income
3450,income
3451,income
3457,income
3459,income
3471,income
3489,income
3492,income
3504,income
3514,income
3526,income
3530,income
3534,income
3535,income
3542,income
3543,income
3555,income
3559,income
3588,income
3589,income
3592,income
3595,income
3600,income
3604,income
3616,income
3621,income
3647,income
3654,income
3661,income
3677,income
3691,income
3708,income
3710,income
3724,income
3732,income
3737,income
3751,income
3761,income
3762,income
3765,income
3767,income
3773,income
3781,income
3808,income
3812,maritalstatus
3821,income
3826,income
3827,income
3837,income
3840,income
3844,income
3847,income
3860,income
3863,income
3864,education
3888,income
3890,income
3914,income
3932,income
3942,income
3947,income
3952,income
3969,income
4003,income
4007,income
4012,income
4020,income
4043,income
4045,income
4053,income
4059,income
4071,income
4084,income
4090,income
4097,income
4120,income
4136,income
4146,income
4147,income
4152,income
4158,income
4170,income
4171,income
4175,income
4215,income
4220,income
4223,income
4224,income
4232,income
4233,income
4234,education
4235,income
4247,income
4249,income
4267,maritalstatus
4268,income
4277,income
4304,income
4326,income
4329,income
4336,income
4350,income
4359,income
4376,income
4380,income
4426,income
4431,income
4433,income
4435,income
4457,income
4468,income
4470,income
4476,income
4479,income
4496,income
4498,income
4505,income
4555,income
4561,income
4567,income
4585,income
4587,income
4590,income
4600,income
4610,income
4612,income
4613,income
4625,income
4635,income
4645,income
4655,income
4666,income
4668,income
4674,income
4681,income
4684,income
4686,income
4698,income
4700,income
4706,income
4712,income
4721,age
5172,age
6273,age
7808,age
10305,age
10570,age
10829,age
11208,age
11499,age
11698,age
11992,age
12308,age
13181,age
14112,age
14400,age
14556,age
15152,age
15476,age
16381,age
16742,age
17237,age
18874,age
19529,age
19873,age
19969,age
20193,age
20509,age
21597,age
22009,age
22228,age
22961,age
23608,age
24028,age
24424,age
24652,age
25685,age
25974,age
26905,age
26940,age
27410,age
27509,age
28743,age
29001,age
29494,age
30514,age
30627,age
32025,age
32150,age
32418,age
32798,age
32827,age
33635,age
35542,age
36719,age
39481,age
39508,age
39714,age
40026,age
40083,age
41159,age
41885,age
42534,age
42633,age
45074,age
46126,age
47344,age
47565,age
47803,age
48405,age
48794,age
48798,age
49439,income
49443,income
49449,income
49456,income
49463,income
49465,income
49480,income
49492,income
49498,income
49502,income
49504,income
49520,income
49525,income
49529,income
49534,income
49536,income
49542,income
49556,income
49575,income
49579,income
49599,income
49605,income
49614,income
49649,income
49655,income
49670,income
49692,income
49704,income
49708,income
49715,income
49734,income
49749,income
49753,income
49755,income
49764,income
49784,income
49817,income
49823,income
49869,income
49877,income
49884,income
49893,income
49901,income
49906,income
49922,income
49931,income
49936,income
49943,income
49948,income
49949,income
49954,income
49980,income
49988,income
49991,income
49996,income
49999,income
50005,income
50007,income
50029,income
50035,income
50066,income
50068,income
50069,income
50076,income
50079,income
50090,income
50099,income
50108,income
50129,income
50133,income
50146,income
50148,income
50151,income
50152,income
50153,income
50155,income
50162,income
50181,income
50188,income
50196,income
50204,income
50206,income
50207,income
50217,income
50218,income
50235,income
50243,income
50245,income
50258,income
50273,income
50275,income
50281,income
50285,income
50290,income
50308,income
50309,income
50318,income
50320,income
50323,income
50341,income
50354,education
50360,income
50370,income
50382,income
50383,income
50388,income
50407,income
50409,income
50411,income
50412,income
50415,income
50418,income
50431,income
50435,income
50444,income
50449,income
50453,income
50456,income
50461,income
50465,income
50467,income
50469,income
50476,income
50481,income
50483,income
50489,income
50494,income
50496,income
50498,income
50500,income
50512,income
50521,income
50526,income
50529,income
50533,income
50535,income
50553,income
50556,income
50574,income
50585,income
50610,income
50614,income
50615,income
50621,income
50630,income
50636,income
50651,income
50656,income
50659,income
50670,income
50678,income
50690,income
50691,income
50697,income
50710,income
50714,income
50728,income
50740,income
50741,income
50747,income
50755,income
50757,income
50776,income
50785,income
50789,income
50790,income
50793,income
50796,income
50799,income
50801,income
50806,income
50814,income
50817,education
50824,income
50864,income
50868,income
50875,income
50878,income
50895,income
50896,income
50901,income
50903,income
50907,income
50913,income
50931,income
50942,income
50943,income
50946,income
50953,income
50956,income
50957,income
50958,income
50961,income
50971,income
50973,income
50977,income
50982,income
50985,income
50996,income
51000,income
51007,income
51010,income
51019,income
51021,income
51030,income
51053,income
51054,income
51057,income
51062,income
51075,income
51078,income
51079,income
51084,income
51095,income
51107,income
51116,income
51121,income
51134,income
51139,income
51146,income
51147,income
51151,income
51153,income
51154,income
51183,income
51185,income
51186,income
51192,income
51208,income
51215,income
51224,income
51225,income
51230,income
51233,income
51236,income
51273,income
51276,income
51280,income
51283,income
51290,income
51313,income
51321,income
51324,income
51325,income
51326,income
51333,income
51344,income
51351,income
51359,income
51360,income
51365,income
51369,income
51377,income
51378,income
51389,income
51409,income
51411,income
51413,income
51418,income
51436,income
51442,income
51466,income
51469,income
51473,income
51478,income
51480,income
51493,education
51494,income
51509,income
51511,income
51516,income
51517,income
51519,income
51521,income
51523,income
51528,income
51535,income
51544,income
51545,income
51548,income
51551,income
51568,income
51571,income
51573,income
51591,income
51600,income
51618,income
51626,income
51628,income
51649,income
51656,income
51663,income
51666,income
51672,income
51695,income
51705,income
51706,income
51707,income
51711,income
51726,income
51734,income
51740,income
51757,income
51758,income
51765,income
51769,income
51777,income
51807,income
51827,income
51828,income
51830,income
51837,income
51843,income
51845,income
51846,income
51859,income
51865,income
51914,income
51928,income
51935,income
51948,income
51952,income
51958,income
51968,income
51995,income
52005,income
52006,income
52010,income
52016,income
52021,income
52026,income
52038,income
52042,income
52055,income
52064,income
52072,income
52080,income
52086,income
52087,income
52092,income
52097,income
52104,income
52149,income
52161,income
52164,income
52186,income
52218,income
52222,income
52229,income
52232,income
52239,income
52258,income
52266,income
52269,income
52286,income
52299,income
52312,income
52324,income
52333,income
52334,income
52335,income
52359,income
52368,income
52399,income
52400,income
52405,income
52408,income
52430,income
52463,income
52483,income
52487,income
52511,income
52513,income
52517,income
52522,income
52535,income
52542,income
52574,income
52577,income
52585,income
52591,income
52604,income
52605,income
52607,income
52612,income
52615,income
52628,income
52629,income
52637,income
52641,income
52646,income
52647,income
52650,income
52651,income
52654,maritalstatus
52666,income
52670,income
52686,income
52702,income
52706,education
52722,income
52730,income
52738,income
52740,income
52745,income
52750,income
52756,income
52759,income
52774,income
52781,income
52788,income
52798,income
52809,income
52821,income
52844,income
52889,income
52894,income
52895,income
52911,income
