_tid_,attribute
79,birthyear
119,team
123,team
139,season
180,season
208,team
221,birthyear
235,team
236,birthyear
253,season
257,team
262,birthyear
308,birthyear
369,season
380,city
410,birthyear
411,season
421,season
444,stadium
445,stadium
448,birthyear
463,stadium
467,team
475,team
492,team
501,team
506,team
510,birthyear
514,stadium
525,birthyear
529,city
535,birthyear
542,stadium
567,season
575,city
594,birthyear
595,season
598,season
599,season
605,birthyear
607,birthyear
614,position
618,team
622,stadium
626,position
629,birthyear
634,team
635,city
656,city
666,season
668,team
687,team
688,position
690,position
712,birthplace
714,stadium
721,stadium
731,season
732,season
747,birthplace
748,city
752,city
755,stadium
756,season
757,season
760,season
776,city
785,team
786,season
793,birthyear
794,season
805,season
830,season
833,team
836,stadium
838,season
840,birthyear
857,stadium
869,stadium
873,season
878,season
887,stadium
889,birthplace
897,stadium
898,team
905,season
909,city
912,city
924,season
929,season
933,birthyear
934,team
936,team
939,city
965,season
968,city
974,team
980,season
983,season
992,team
998,stadium
1005,season
1007,team
1021,team
1033,city
1035,team
1057,season
1059,position
1061,season
1064,stadium
1068,season
1070,team
1072,stadium
1089,season
1093,season
1095,birthplace
1100,birthplace
1118,season
1128,season
1134,season
1150,birthyear
1151,season
1155,team
1156,team
1166,team
1169,birthyear
1171,season
1176,birthplace
1184,stadium
1197,city
1201,city
1203,team
1206,season
1220,birthyear
1229,birthplace
1233,birthyear
1237,city
1239,position
1241,team
1245,season
1253,team
1255,season
1263,birthyear
1265,birthplace
1276,season
1282,position
1285,stadium
1293,birthplace
1305,stadium
1306,season
1307,team
1310,team
1319,birthyear
1326,stadium
1327,team
1331,season
1343,birthyear
1355,season
1362,birthyear
1366,team
1367,team
1372,season
1379,team
1386,season
1391,season
1394,city
1396,season
1400,stadium
1402,city
1404,season
1414,season
1419,manager
1421,season
1424,season
1426,position
1428,team
1433,manager
1444,season
1446,season
1453,manager
1466,manager
1470,season
1475,stadium
1475,manager
1487,city
1488,manager
1489,season
1501,position
1503,season
1506,city
1510,city
1526,manager
1539,season
1542,season
1544,season
1545,position
1548,season
1551,birthplace
1555,manager
1568,manager
1580,season
1581,season
1584,season
1590,birthyear
1595,season
1599,season
1603,team
1611,city
1623,season
1627,season
1631,birthplace
1640,season
1641,city
1645,season
1670,team
1697,season
1699,season
1707,team
1709,season
1710,season
1713,season
1733,season
1739,birthyear
1741,position
1742,stadium
1742,manager
1743,team
1744,birthyear
1744,manager
1746,birthyear
1760,season
1764,season
1775,birthyear
1792,position
1797,season
1799,stadium
1799,manager
1816,team
1817,manager
1817,stadium
1823,stadium
1823,manager
1826,team
1829,stadium
1829,manager
1831,stadium
1831,manager
1836,position
1845,position
1857,stadium
1857,manager
1872,birthyear
1872,manager
1883,season
1894,season
1895,position
1896,season
1897,manager
1899,season
1909,birthplace
1910,season
1911,birthplace
1917,team
1923,season
1930,season
1936,city
1948,stadium
1948,manager
1961,manager
1965,birthyear
1968,season
1973,birthyear
1974,birthplace
1980,manager
1980,stadium
1996,stadium
1996,manager
1999,season
2009,position
2016,season
2020,birthplace
2030,manager
2035,team
2039,season
2046,season
2057,season
2065,stadium
2065,manager
2069,position
2072,position
2073,manager
2073,stadium
2075,season
2087,season
2091,stadium
2091,manager
2103,season
2104,stadium
2104,manager
2109,season
2119,stadium
2119,manager
2128,stadium
2128,manager
2140,season
2142,manager
2152,season
2163,season
2178,stadium
2178,manager
2203,manager
2212,manager
2232,city
2233,season
2246,season
2254,position
2270,manager
2278,city
2291,manager
2298,birthplace
2302,birthplace
2306,season
2314,season
2315,season
2318,manager
2343,manager
2351,birthplace
2363,manager
2373,season
2389,manager
2392,birthyear
2398,manager
2416,city
2450,city
2451,season
2453,birthyear
2456,stadium
2456,manager
2474,birthplace
2475,stadium
2475,manager
2478,season
2481,season
2482,manager
2507,birthplace
2513,stadium
2513,manager
2514,season
2519,city
2522,birthyear
2532,position
2547,season
2557,manager
2561,birthplace
2569,season
2578,stadium
2578,manager
2585,season
2601,manager
2601,stadium
2603,season
2624,stadium
2624,manager
2629,birthplace
2637,season
2640,manager
2660,stadium
2663,city
2669,birthplace
2696,stadium
2706,season
2726,position
2755,season
2759,stadium
2764,birthplace
2774,stadium
2817,season
2823,position
2827,birthyear
2844,birthyear
2863,season
2897,birthyear
2908,birthplace
2927,position
2939,birthyear
2952,season
2975,birthyear
2989,team
3005,position
3008,birthyear
3012,birthplace
3023,season
3026,team
3029,birthplace
3050,birthplace
3057,position
3064,season
3069,birthplace
3084,team
3104,season
3132,team
3135,birthplace
3136,birthplace
3140,birthplace
3141,season
3143,birthyear
3143,team
3154,birthplace
3205,season
3214,season
3219,birthplace
3252,birthplace
3265,team
3267,birthplace
3275,position
3276,season
3295,birthyear
3301,team
3311,season
3333,team
3334,birthplace
3357,city
3363,season
3370,position
3400,position
3408,team
3412,birthplace
3413,season
3419,team
3420,birthplace
3437,season
3481,team
3484,birthyear
3496,team
3503,team
3513,city
3516,position
3545,position
3567,city
3583,position
3586,birthyear
3586,team
3606,team
3607,position
3614,team
3624,season
3626,birthplace
3658,birthplace
3661,birthyear
3671,team
3709,position
3747,team
3763,city
3769,position
3795,season
3831,season
3842,city
3848,birthplace
3850,city
3858,season
3879,team
3884,season
3890,birthplace
3901,city
3902,team
3917,birthplace
3918,position
3921,season
3926,season
3945,season
3948,city
3974,position
4057,position
4076,city
4138,team
4139,season
4166,birthplace
4169,team
4192,position
4204,team
4205,team
4254,position
4272,team
4279,team
4290,birthplace
4327,team
4336,city
4338,position
4339,season
4370,position
4371,position
4391,city
4415,city
4424,team
4442,birthyear
4443,team
4473,position
4480,birthyear
4514,position
4517,team
4519,team
4536,team
4538,position
4550,team
4551,season
4581,team
4593,position
4595,team
4604,city
4622,birthplace
4637,city
4644,city
4657,city
4661,team
4665,team
4668,birthyear
4685,position
4699,city
4702,position
4709,city
4718,team
4720,season
4725,team
4731,team
4734,team
4736,team
4749,season
4757,city
4786,team
4791,position
4792,position
4809,team
4818,team
4820,birthplace
4862,city
4872,season
4883,season
4886,team
4899,team
4905,team
4914,team
4917,season
4918,birthplace
4946,team
4960,team
4962,birthplace
4984,team
4986,season
4994,team
4997,team
