_tid_,attribute
60,city
79,birthyear
96,city
119,team
123,team
139,season
175,city
180,season
208,team
221,birthplace
235,team
236,position
253,season
257,team
260,season
262,position
268,season
278,season
290,city
308,position
321,city
323,birthyear
351,city
365,city
369,season
410,birthyear
411,season
421,season
438,birthyear
467,team
473,city
492,team
498,city
501,team
519,city
525,birthyear
535,birthplace
566,season
582,city
583,city
593,city
594,birthyear
595,season
598,season
605,position
607,birthplace
614,birthyear
618,team
626,position
629,birthyear
634,team
651,city
666,season
668,team
687,team
688,position
690,position
704,city
707,season
712,birthplace
732,season
747,birthplace
760,season
766,season
785,team
786,season
793,birthyear
805,season
826,season
830,season
833,team
840,position
844,city
873,season
889,position
898,team
933,birthplace
934,team
936,team
965,season
974,team
980,season
992,team
1007,team
1021,team
1035,team
1059,birthyear
1068,season
1070,team
1078,season
1095,birthplace
1100,position
1134,season
1150,position
1151,season
1155,team
1156,team
1166,team
1169,birthplace
1171,season
1176,position
1184,stadium
1203,team
1220,position
1229,position
1233,birthplace
1239,season
1263,birthplace
1265,birthplace
1276,season
1282,position
1285,stadium
1293,birthplace
1305,stadium
1306,season
1307,team
1310,team
1319,team
1326,stadium
1331,season
1343,birthyear
1362,birthyear
1386,season
1390,team
1391,birthyear
1393,team
1400,stadium
1404,season
1419,team
1424,birthyear
1426,position
1433,team
1453,team
1466,team
1470,birthyear
1475,stadium
1488,team
1489,birthyear
1501,birthyear
1503,season
1526,team
1541,position
1542,season
1545,birthyear
1551,birthplace
1555,team
1568,team
1584,birthyear
1590,birthyear
1595,season
1598,season
1631,position
1697,season
1699,season
1704,season
1733,season
1739,position
1741,birthyear
1742,stadium
1744,position
1744,team
1746,birthyear
1775,birthplace
1792,season
1799,stadium
1817,stadium
1823,stadium
1829,stadium
1831,stadium
1836,birthyear
1841,season
1845,season
1857,stadium
1872,position
1872,team
1895,season
1897,team
1909,position
1911,birthplace
1948,stadium
1961,team
1965,birthyear
1973,birthyear
1974,birthplace
1980,stadium
1996,stadium
2009,birthyear
2020,birthplace
2030,team
2057,position
2065,stadium
2069,birthyear
2072,birthyear
2073,stadium
2087,season
2091,stadium
2102,season
2104,stadium
2119,stadium
2128,stadium
2142,team
2152,season
2178,stadium
2199,season
2203,team
2212,team
2233,position
2254,birthyear
2270,team
2298,position
2302,birthplace
2351,birthplace
2373,season
2392,birthyear
2453,birthyear
2456,stadium
2468,birthyear
2474,position
2475,stadium
2507,birthplace
2513,stadium
2518,birthyear
2522,birthplace
2532,position
2557,team
2561,birthplace
2569,season
2578,stadium
2585,position
2601,stadium
2603,position
2606,city
2621,birthyear
2624,stadium
2625,city
2629,birthplace
2630,season
2640,team
2660,stadium
2669,birthplace
2696,stadium
2718,city
2726,position
2735,birthyear
2736,city
2755,season
2759,stadium
2764,birthplace
2774,stadium
2786,city
2807,manager
2811,city
2814,manager
2823,position
2827,birthplace
2831,stadium
2831,manager
2833,manager
2833,stadium
2844,manager
2863,season
2864,stadium
2864,manager
2894,city
2897,birthplace
2908,position
2909,city
2912,manager
2913,manager
2923,manager
2927,season
2939,season
2947,stadium
2947,manager
2952,manager
2952,stadium
2963,manager
2964,city
2969,manager
2974,stadium
2974,manager
2975,birthplace
2989,manager
2995,city
3005,season
3008,birthplace
3012,position
3023,season
3026,manager
3029,position
3050,birthplace
3055,manager
3055,stadium
3057,season
3064,position
3069,position
3084,manager
3101,city
3104,stadium
3104,manager
3120,city
3132,manager
