_tid_,attribute
13,ProviderNumber
45,ProviderNumber
81,ProviderNumber
213,ProviderNumber
244,ProviderNumber
253,ProviderNumber
273,ProviderNumber
314,ProviderNumber
360,ProviderNumber
408,ProviderNumber
559,ProviderNumber
608,ProviderNumber
627,ProviderNumber
639,ProviderNumber
645,ProviderNumber
655,ProviderNumber
704,ProviderNumber
721,ProviderNumber
724,ProviderNumber
755,ProviderNumber
780,ProviderNumber
789,ProviderNumber
793,ProviderNumber
859,ProviderNumber
878,ProviderNumber
888,ProviderNumber
933,ProviderNumber
955,ProviderNumber
26,HospitalName
131,HospitalName
171,HospitalName
243,HospitalName
337,HospitalName
384,HospitalName
385,HospitalName
448,HospitalName
532,HospitalName
560,HospitalName
654,HospitalName
697,HospitalName
710,HospitalName
730,HospitalName
758,HospitalName
765,HospitalName
777,HospitalName
903,HospitalName
921,HospitalName
922,HospitalName
938,HospitalName
956,HospitalName
962,HospitalName
987,HospitalName
57,Address1
94,Address1
106,Address1
161,Address1
175,Address1
260,Address1
264,Address1
275,Address1
295,Address1
316,Address1
334,Address1
350,Address1
363,Address1
393,Address1
411,Address1
415,Address1
431,Address1
451,Address1
472,Address1
484,Address1
652,Address1
736,Address1
767,Address1
849,Address1
857,Address1
915,Address1
934,Address1
935,Address1
945,Address1
956,Address1
986,Address1
3,City
7,City
10,City
56,City
79,City
88,City
93,City
180,City
207,City
212,City
228,City
311,City
367,City
437,City
474,City
485,City
517,City
578,City
590,City
601,City
654,City
690,City
696,City
736,City
756,City
772,City
821,City
855,City
895,City
949,City
960,City
968,City
985,City
42,State
46,State
50,State
83,State
98,State
119,State
140,State
165,State
182,State
228,State
278,State
356,State
386,State
402,State
477,State
483,State
504,State
559,State
572,State
592,State
701,State
764,State
791,State
884,State
886,State
922,State
44,ZipCode
63,ZipCode
70,ZipCode
93,ZipCode
137,ZipCode
139,ZipCode
149,ZipCode
157,ZipCode
196,ZipCode
232,ZipCode
267,ZipCode
283,ZipCode
290,ZipCode
325,ZipCode
