ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10039,huntsville hospital,101 sivley rd,,,huntsville,al,35801,madison,2562651000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,93%,269 patients,al_scip-vte-1
10039,huntsville hospital,101 sivley rd,,,huntsville,al,35801,madison,2562651000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90%,269 patients,al_scip-vte-2
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-1,heart attack patxents gxven aspxrxn at arrxval,94%,123 patients,al_ami-1
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,134 patients,al_ami-2
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),89%,18 patients,al_ami-3
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,79 patients,al_ami-4
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,95%,117 patients,al_ami-5
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,68%,25 patients,al_ami-7a
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,83%,12 patients,al_ami-8a
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,xes,heart failure,hf-1,heart failure patients given discharge instructions,47%,211 patients,al_hf-1
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,259 patients,al_hf-2
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,69 patients,al_hf-3
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,70 patients,al_hf-4
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,96%,255 patients,al_pn-2
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,axute care hospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,187 patients,al_pn-3b
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,x590x,etowah,2564944000,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,130 patients,al_pn-4
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,94%,266 patients,al_pn-5c
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),89%,153 patients,al_pn-6
10040,gadsden regional medical center,1007 goodyear avenue,,,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,96%,187 patients,al_pn-7
